date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2022-08-07,11.5,9.6,15.6,0,,110,26.5,,1023.9,
2022-08-08,10.6,7.4,13.5,0.4,,126,19.7,,1027.5,
2022-08-09,11.7,8.6,14.5,0,,107,15.9,,1031.3,
2022-08-10,11.1,8.2,13.6,0,,48,15.1,,1027.7,
2022-08-11,13,9.7,16.1,0,,2,16.1,,1022.4,
2022-08-12,14.1,10.3,16.7,0,,28,12.3,,1017.4,
2022-08-13,15.8,12.1,19.7,0,,48,8.3,,1017.2,
2022-08-14,16.7,14.1,20.3,0.7,,52,10.1,,1010,
2022-08-15,15.7,12.6,20.7,0,,239,12.4,,1005.5,
2022-08-16,13.5,7.5,19.5,0,,305,14.3,,1008.6,
2022-08-17,12.8,10.1,20.4,0,,245,9.2,,1009.2,
2022-08-18,9.1,4.3,14.6,0,,222,11.3,,1021.9,
2022-08-19,11.1,5.9,17.8,0,,295,13.9,,1028.6,
2022-08-20,11.4,6.1,18.1,0,,337,13.3,,1028,
2022-08-21,11.8,7.4,16.8,0,,338,5.9,,1028.1,
2022-08-22,11.1,9.3,16.1,0,,95,19.2,,1026.1,
2022-08-23,13.3,10.1,17.1,0,,49,12.7,,1020.5,
2022-08-24,15.4,11.3,20,0,,50,7,,1018,
2022-08-25,17.1,13.8,20,0,,70,4.7,,1016.6,
2022-08-26,17,14.6,20.8,1.2,,66,8.2,,1013.4,
2022-08-27,17.3,9.1,20.2,18,,224,15.4,,1013.8,
2022-08-28,9.2,4.8,18.6,0,,185,10.7,,1032.9,
2022-08-29,10.2,6,13.8,0,,341,11.2,,1033.2,
2022-08-30,12.7,8.2,15.9,0,,36,17.6,,1026.4,
2022-08-31,15.2,10.8,17.1,0,,84,15.2,,1017.4,
2022-09-01,15.8,15,17.9,1.3,,70,7,,1012.7,
2022-09-02,13.4,7.4,17.7,0,,189,14.6,,1022.6,
2022-09-03,12.6,7.3,17.6,0,,18,8.8,,1027.5,
2022-09-04,14.3,9.4,18.8,0,,336,11.9,,1025.8,
2022-09-05,15,10.3,19.7,0,,353,9.4,,1025,
2022-09-06,15.6,13.1,18.5,0,,36,12.5,,1019.9,
2022-09-07,17.6,14.2,21.3,0,,18,11.8,,1009.9,
2022-09-08,17.8,10.8,21.6,18.4,,64,14.2,,1006.3,
2022-09-09,10.7,7.4,21.5,9.9,,199,15.4,,1017.4,
2022-09-10,12.4,6.3,18.6,0,,286,7.8,,1023.4,
2022-09-11,13.4,8.6,19,0,,25,12,,1021.8,
2022-09-12,14,11.2,17.2,0,,63,10,,1018.7,
2022-09-13,13.8,10.8,16.6,0,,105,11.5,,1020.1,
2022-09-14,14.9,11.6,17.1,0,,69,10.8,,1025,
2022-09-15,15.8,12.8,19,0,,44,14.1,,1024.6,
2022-09-16,17.4,13.4,20.7,0,,29,17.9,,1021.7,
2022-09-17,18.5,14.9,22.2,0,,53,15,,1017.5,
2022-09-18,17.6,15.3,22.7,0.1,,88,14.4,,1013.8,
2022-09-19,18.4,15.6,22,0,,233,10.1,,1014,
2022-09-20,12.7,8.8,22.6,4.2,,122,13.2,,1018,
2022-09-21,14.1,9.9,16.8,0,,122,15.8,,1017.9,
2022-09-22,14.3,10.3,18.5,0,,246,9.5,,1018.4,
2022-09-23,13.5,8.4,19.1,3,,43,7.8,,1019.9,
2022-09-24,16.3,11.8,20.4,0,,37,14.5,,1019.5,
2022-09-25,16.7,13.3,20.8,0,,74,15.9,,1017.6,
2022-09-26,17,14.6,20.4,0.3,,41,8.7,,1013.8,
2022-09-27,18.2,13.7,22.5,0,,85,11.9,,1020.4,
2022-09-28,14.2,11.8,23.1,0,,120,24.8,,1029.6,
2022-09-29,14.2,11,17.1,0,,89,23.4,,1027.8,
2022-09-30,15.4,12.4,18,0,,81,17.9,,1023.1,
2022-10-01,16.7,12.9,19.7,0,,60,10.7,,1021.8,
2022-10-02,17.8,13.2,22,0,,32,13.5,,1022.8,
2022-10-03,14.6,11,22.1,0,,116,25.1,,1022.3,
2022-10-04,14.9,11.3,18.4,0,,84,26.7,,1017.3,
2022-10-05,17.1,13.6,20.3,0,,81,20.9,,1014.6,
2022-10-06,17.7,14.3,22.4,0,,172,9.7,,1009.7,
2022-10-07,19.8,12.5,27.5,0,,284,11.9,,1007,
2022-10-08,16.9,9.4,28.6,0,,251,16.3,,1008.1,
2022-10-09,12.9,6.3,20.2,0,,253,9.9,,1020.6,
2022-10-10,14.9,10.3,21.1,0,,32,13.1,,1023.5,
2022-10-11,15.6,12.8,19.4,0,,47,15,,1020.1,
2022-10-12,18.8,11.4,28.8,0,,331,17.5,,1012.4,
2022-10-13,18.1,11.3,29.1,0.1,,163,18.8,,1019.5,
